id,dex_number,region,slug,description,credit,enabled,catchable,abundance,gender_rate,has_gender_differences,name.ja,name.ja_r,name.ja_t,name.en,name.en2,name.de,name.fr,type.0,type.1,mythical,legendary,ultra_beast,event,height,weight,evo.to,evo.from,base.hp,base.atk,base.def,base.satk,base.sdef,base.spd,evo.mega,evo.mega_x,evo.mega_y,is_form,form_item
380,380,hoenn,latias,Its body is covered with a down that can refract light in such a way that it becomes invisible.,,1,1,6,8,0,ラティアス,Ratiasu,Latias,Latias,,Latias,Latias,Dragon,Psychic,,1,,,14,400,,,80,80,90,110,130,110,10062,,,,
381,381,hoenn,latios,"It is a highly intelligent Pokémon. By folding back its forelegs in flight, it can overtake jet planes.",,1,1,6,0,0,ラティオス,Ratiosu,Latios,Latios,,Latios,Latios,Dragon,Psychic,,1,,,20,600,,,80,90,80,130,110,110,10063,,,,
382,382,hoenn,kyogre,It is said to have widened the seas by causing downpours. It had been asleep in a marine trench.,,1,1,6,-1,0,カイオーガ,Kaiōga,Kyogre,Kyogre,,Kyogre,Kyogre,Water,,,1,,,45,3520,,,100,100,90,150,140,90,10077,,,,
383,383,hoenn,groudon,It had been asleep in underground magma ever since it fiercely fought Kyogre long ago.,,1,2,6,-1,0,グラードン,Gurādon,Groudon,Groudon,,Groudon,Groudon,Ground,,,1,,,35,9500,,,100,150,140,100,90,90,10078,,,,
384,384,hoenn,rayquaza,It lives in the ozone layer far above the clouds and cannot be seen from the ground.,,1,1,6,-1,0,レックウザ,Rekkūza,Rayquaza,Rayquaza,,Rayquaza,Rayquaza,Dragon,Flying,,1,,,70,2065,,,105,150,90,150,90,95,10079,,,,
385,385,hoenn,jirachi,"It is said to wake up for just seven days every 1,000 years and use its power to grant any wish.",,1,1,12,-1,0,ジラーチ,Jirāchi,Jirachi,Jirachi,,Jirachi,Jirachi,Steel,Psychic,1,,,,3,11,,,100,100,100,100,100,100,,,,,
386,386,hoenn,deoxys-normal,An alien virus that fell to earth on a meteorite underwent a DNA mutation to become this Pokémon.,,1,1,12,-1,0,デオキシス,Deokishisu,Deoxys,Deoxys,,Deoxys,Deoxys,Psychic,,1,,,,17,608,,,50,150,50,150,50,150,,,,,
387,387,sinnoh,turtwig,This Pokémon becomes more energetic the more sunlight there is. The part resembling a shell is similar to silt and is slightly damp and warm to the touch.,,1,1,512,1,0,ナエトル,Naetoru,Naetle,Turtwig,,Chelast,Tortipouss,Grass,,,,,,4,102,388,,55,68,64,45,55,31,,,,,
388,388,sinnoh,grotle,"Appears where there is clean spring water. The fruit that grows on the shrubs on its shell is sweet, nutritious, and truly delicious.",,1,1,384,1,0,ハヤシガメ,Hayashigame,Hayashigame,Grotle,,Chelcarain,Boskara,Grass,,,,,,11,970,389,387,75,89,85,55,65,36,,,,,
389,389,sinnoh,torterra,"This remarkable, large-bodied Pokémon would serve beautifully as borrowed scenery for a garden, and its strength is peerless. Torterra roams the wilderness in search of clean water.",,1,1,96,1,0,ドダイトス,Dodaitosu,Dodaitose,Torterra,,Chelterrar,Torterra,Grass,Ground,,,,,22,3100,,388,95,109,105,75,85,56,,,,,
390,390,sinnoh,chimchar,Full of vigor and always in high spirits. It was once known by the name “Lantern-Tail” and feared as some kind of apparition.,,1,1,512,1,0,ヒコザル,Hikozaru,Hikozaru,Chimchar,,Panflam,Ouisticram,Fire,,,,,,5,62,391,,44,58,44,58,44,61,,,,,
391,391,sinnoh,monferno,"The deeper the blue on its face, the more powerful it will grow to become. It leaps about every which way and lands powerful blows against its opponents with the flame on its tail.",,1,2,384,1,0,モウカザル,Mōkazaru,Moukazaru,Monferno,,Panpyro,Chimpenfeu,Fire,Fighting,,,,,9,220,392,390,64,78,52,78,52,81,,,,,
392,392,sinnoh,infernape,"A tall, hardy Pokémon with a dazzling appearance. It shrouds itself in flame and battles as if engaged in dance—truly a sight to behold.",,1,2,96,1,0,ゴウカザル,Gōkazaru,Goukazaru,Infernape,,Panferno,Simiabraz,Fire,Fighting,,,,,12,550,,391,76,104,71,104,71,108,,,,,
393,393,sinnoh,piplup,"Prefers cold climes and appears along coasts. It’s an adorable little thing—as cute as any child—but it’s also prideful, unwilling to accept handouts from people.",,1,1,512,1,0,ポッチャマ,Potchama,Pochama,Piplup,,Plinfa,Tiplouf,Water,,,,,,4,52,394,,53,51,53,61,56,40,,,,,
394,394,sinnoh,prinplup,"It swims gracefully through the frigid sea and sings with a voice like the roaring tide. It has powerful, sturdy wings and dignity to match.",,1,1,384,1,0,ポッタイシ,Pottaishi,Pottaishi,Prinplup,,Pliprin,Prinplouf,Water,,,,,,8,230,395,393,64,66,68,81,76,50,,,,,
395,395,sinnoh,empoleon,"Since ancient times, it has been revered by the people of Hisui, who call it the Master of the Waves. Its wings are a match for even master-crafted blades.",,1,1,96,1,0,エンペルト,Enperuto,Emperte,Empoleon,,Impoleon,Pingoléon,Water,Steel,,,,,17,845,,394,84,86,88,111,101,60,,,,,
396,396,sinnoh,starly,"Because they are weak individually, they form groups. However, they bicker if the group grows too big.",,1,1,1536,4,1,ムックル,Mukkuru,Mukkuru,Starly,,Staralili,Étourmi,Normal,Flying,,,,,3,20,397,,40,55,30,30,30,60,,,,,
397,397,sinnoh,staravia,"They maintain huge flocks, although fierce scuffles break out between various flocks.",,1,1,384,4,1,ムクバード,Mukubādo,Mukubird,Staravia,,Staravia,Étourvol,Normal,Flying,,,,,6,155,398,396,55,75,50,40,40,80,,,,,
398,398,sinnoh,staraptor,It never stops attacking even if it is injured. It fusses over the shape of its comb.,,1,1,96,4,1,ムクホーク,Mukuhōku,Mukuhawk,Staraptor,,Staraptor,Étouraptor,Normal,Flying,,,,,12,249,,397,85,120,70,50,60,100,,,,,
399,399,sinnoh,bidoof,Bidoof has an unsophisticated face and is rarely flustered by anything. There have been incidents involving Bidoof sauntering into villages and gnawing on the houses without a single care.,,1,2,384,4,1,ビッパ,Bippa,Bippa,Bidoof,,Bidiza,Keunotor,Normal,,,,,,5,200,400,,59,45,40,35,40,31,,,,,
400,400,sinnoh,bibarel,Bibarel fur repels water and is also a fantastic material for heat retention. These Pokémon create dams on rivers to live in.,,1,2,96,4,1,ビーダル,Bīdaru,Beadaru,Bibarel,,Bidifas,Castorno,Normal,Water,,,,,10,315,,399,79,85,60,55,60,71,,,,,
401,401,sinnoh,kricketot,"When its antennae hit each other, it sounds like the music of a xylophone.",,1,1,384,4,1,コロボーシ,Korobōshi,Korobohshi,Kricketot,,Zirpurze,Crikzik,Bug,,,,,,3,22,402,,37,25,41,25,41,25,,,,,
402,402,sinnoh,kricketune,There is a village that hosts a contest based on the amazingly variable cries of this Pokémon.,,1,1,96,4,1,コロトック,Korotokku,Korotock,Kricketune,,Zirpeise,Mélokrik,Bug,,,,,,10,255,,401,77,85,51,55,51,65,,,,,
403,403,sinnoh,shinx,The extension and contraction of its muscles generates electricity. Its fur glows when it’s in trouble.,,1,1,1536,4,1,コリンク,Korinku,Kolink,Shinx,,Sheinux,Lixy,Electric,,,,,,5,95,404,,45,65,34,40,34,45,,,,,
404,404,sinnoh,luxio,"By gathering their tails together, they collectively generate powerful electricity from their claws.",,1,1,384,4,1,ルクシオ,Rukushio,Luxio,Luxio,,Luxio,Luxio,Electric,,,,,,9,305,405,403,60,85,49,60,49,60,,,,,
405,405,sinnoh,luxray,Luxray’s ability to see through objects comes in handy when it’s scouting for danger.,,1,1,96,4,1,レントラー,Rentorā,Rentorar,Luxray,,Luxtra,Luxray,Electric,,,,,,14,420,,404,80,120,79,95,79,70,,,,,
406,406,sinnoh,budew,"When the sun’s light strengthens, the bud atop this Pokémon’s head opens. This is a sign to the people that the harsh winter is over, and the season of budding has begun.",,1,1,96,4,0,スボミー,Subomī,Subomie,Budew,,Knospi,Rozbouton,Grass,Poison,,,,,2,12,315,,40,30,35,50,70,55,,,,,
407,407,sinnoh,roserade,Hidden within the bouquet on each hand are thorned whips loaded with virulent poison. Roserade moves gracefully as it corners its prey and mercilessly lashes them with its whips.,,1,1,96,4,1,ロズレイド,Rozureido,Roserade,Roserade,,Roserade,Roserade,Grass,Poison,,,,,9,145,,315,60,70,65,125,105,90,,,,,
408,408,sinnoh,cranidos,"An incredibly rare sight. They duel each other by ramming their heads together, and the resulting sound echoes throughout the area like the pealing of a bell.",,1,1,384,1,0,ズガイドス,Zugaidosu,Zugaidos,Cranidos,,Koknodon,Kranidos,Rock,,,,,,9,315,409,,67,125,40,30,30,58,,,,,
409,409,sinnoh,rampardos,"Very little is known about its biology. Can knock down massive trees by smashing its beautiful, pearl-like crown against them.",,1,1,96,1,0,ラムパルド,Ramuparudo,Rampald,Rampardos,,Rameidon,Charkos,Rock,,,,,,16,1025,,408,97,165,60,65,50,58,,,,,
410,410,sinnoh,shieldon,"Much remains unknown about this Pokémon, as few have ever seen it. However, we know that it is calm and dislikes conflict, and it enjoys polishing its face against trees and rocks.",,1,2,384,1,0,タテトプス,Tatetopusu,Tatetops,Shieldon,,Schilterus,Dinoclier,Rock,Steel,,,,,5,570,411,,30,42,118,42,88,30,,,,,
411,411,sinnoh,bastiodon,"Its face is sturdy—as strong as diamond—and this hardness offers a very stable defense. Much about this species is still unknown, such as its natural habitat.",,1,2,96,1,0,トリデプス,Toridepusu,Torideps,Bastiodon,,Bollterus,Bastiodon,Rock,Steel,,,,,13,1495,,410,60,52,168,47,138,30,,,,,
412,412,sinnoh,burmy,"If its cloak is even slightly damaged, Burmy will immediately repair it with whatever is close at hand. The Pokémon within the cloak is scrawny and vulnerable to the cold.",,1,1,384,4,0,ミノムッチ,Minomutchi,Minomucchi,Burmy,,Burmy,Cheniti,Bug,,,,,,2,34,413 414,,40,29,45,29,45,36,,,,,
413,413,sinnoh,wormadam-plant,"The cloak—fashioned from plant matter—has merged with the Pokémon and is now part of the body, like fur or skin. I suspect this fusion is an effect of the energy involved in evolution.",,1,1,96,8,0,ミノマダム,Minomadamu,Minomadam,Wormadam,,Burmadame,Cheniselle,Bug,Grass,,,,,5,65,,412,60,59,85,79,105,36,,,,,
414,414,sinnoh,mothim,"Scatters steel-colored scales as it flaps its wings. Despite being observed feeding primarily on the nectar of flowers, Mothim is not often seen around flower gardens.",,1,1,96,0,0,ガーメイル,Gāmeiru,Gamale,Mothim,,Moterpel,Papilord,Bug,Flying,,,,,9,233,,412,70,94,50,94,50,66,,,,,
415,415,sinnoh,combee,The trio is together from birth. It constantly gathers nectar from flowers to please Vespiquen.,,1,1,384,1,1,ミツハニー,Mitsuhanī,Mitsuhoney,Combee,,Wadribie,Apitrini,Bug,Flying,,,,,3,55,416,,30,30,42,30,42,70,,,,,
416,416,sinnoh,vespiquen,It raises grubs in the holes in its body. It secretes pheromones to control Combee.,,1,1,96,8,0,ビークイン,Bīkuin,Beequen,Vespiquen,,Honweisel,Apireine,Bug,Flying,,,,,12,385,,415,70,80,102,80,102,40,,,,,
417,417,sinnoh,pachirisu,A pair may be seen rubbing their cheek pouches together in an effort to share stored electricity.,,1,1,96,4,1,パチリス,Pachirisu,Pachirisu,Pachirisu,,Pachirisu,Pachirisu,Electric,,,,,,4,39,,,60,45,70,45,90,95,,,,,
418,418,sinnoh,buizel,"It inflates its flotation sac, keeping its face above water in order to watch for prey movement.",,1,1,384,4,1,ブイゼル,Buizeru,Buoysel,Buizel,,Bamelin,Mustébouée,Water,,,,,,7,295,419,,55,65,35,60,30,85,,,,,
419,419,sinnoh,floatzel,It is a common sight around fishing ports. It is known to rescue people and help fishers carry what they caught.,,1,1,96,4,1,フローゼル,Furōzeru,Floazel,Floatzel,,Bojelin,Mustéflott,Water,,,,,,11,335,,418,85,105,55,85,50,115,,,,,
420,420,sinnoh,cherubi,"Once the fruit growing alongside the main body is large and plump, Cherubi will use the nutrients within to evolve. The fruit then detaches, becoming nourishment for other creatures.",,1,1,384,4,0,チェリンボ,Cherinbo,Cherinbo,Cherubi,,Kikugi,Ceribou,Grass,,,,,,4,33,421,,45,35,45,62,53,35,,,,,
421,421,sinnoh,cherrim,"Motionless, save for the occasional quiver. A rich array of Pokémon can be found gathered around it, drawn by the scent exuded from Cherrim’s folded petals.",,1,1,96,4,0,チェリム,Cherimu,Cherrim,Cherrim,,Kinoso,Ceriflor,Grass,,,,,,5,93,,420,70,60,70,87,78,85,,,,,
422,422,sinnoh,shellos,Found in abundance on seashores bordering warm waters. Shellos are unexpectedly friendly and will crawl toward any person they see. Take care not to get coated in mucus!,,1,1,384,4,0,カラナクシ,Karanakushi,Karanakushi,Shellos,,Schalellos,Sancoki,Water,,,,,,3,63,423,,76,48,48,57,62,34,,,,,
423,423,sinnoh,gastrodon,"Eats beach sand for nourishment. Should one Gastrodon encounter another of a different color, a fierce battle will inevitably ensue.",,1,1,96,4,0,トリトドン,Toritodon,Tritodon,Gastrodon,,Gastrodon,Tritosor,Water,Ground,,,,,9,299,,422,111,83,68,92,82,39,,,,,
424,424,sinnoh,ambipom,"To affirm their kinship, members of this species will form a ring by linking their newly doubled tails together. On rare occasions, humans have been accepted into such rings.",,1,1,96,4,1,エテボース,Etebōsu,Eteboth,Ambipom,,Ambidiffel,Capidextre,Normal,,,,,,12,203,,190,75,100,66,60,66,115,,,,,
425,425,sinnoh,drifloon,"Because of the way it floats aimlessly, an old folktale calls it a “signpost for wandering spirits.”",,1,1,384,4,0,フワンテ,Fuwante,Fuwante,Drifloon,,Driftlon,Baudrive,Ghost,Flying,,,,,4,12,426,,90,50,34,60,44,70,,,,,
426,426,sinnoh,drifblim,"They carry people and Pokémon, but the wind can catch them, so there can’t be a fixed destination.",,1,1,96,4,0,フワライド,Fuwaraido,Fuwaride,Drifblim,,Drifzepeli,Grodrive,Ghost,Flying,,,,,12,150,,425,150,80,44,90,54,80,,,,,
427,427,sinnoh,buneary,My hypothesis as to why Buneary rolls up its ears is that its hearing is far too keen. I surmise that the Pokémon protects its hearing by limiting the sound that may enter its ears.,,1,1,384,4,0,ミミロル,Mimiroru,Mimirol,Buneary,,Haspiror,Laporeille,Normal,,,,,,4,55,428,,55,66,44,44,56,85,,,,,
428,428,sinnoh,lopunny,"Its fur is warm and yet remarkably light. This Pokémon kicks as though it were a master of karate, driving back its opponents with ease.",,1,1,96,4,0,ミミロップ,Mimiroppu,Mimilop,Lopunny,,Schlapor,Lockpin,Normal,,,,,,12,333,,427,65,76,84,54,96,105,10088,,,,
429,429,sinnoh,mismagius,Its cries sound like incantations to torment the foe. It appears where you least expect it.,,1,1,96,4,0,ムウマージ,Mūmāji,Mumargi,Mismagius,,Traunmagil,Magirêve,Ghost,,,,,,9,44,,200,60,60,60,105,105,105,,,,,
430,430,sinnoh,honchkrow,"A single cry from this nocturnal Pokémon, and more than 100 of its Murkrow cronies will assemble.",,1,1,96,4,0,ドンカラス,Donkarasu,Dongkarasu,Honchkrow,,Kramshef,Corboss,Dark,Flying,,,,,9,273,,198,100,125,52,105,52,71,,,,,
431,431,sinnoh,glameow,"Bewitches humans with its helical tail and piercing gaze. Its hidden claws are quite sharp as well, making this Pokémon an exceedingly tricky opponent if antagonized.",,1,1,384,6,0,ニャルマー,Nyarumā,Nyarmar,Glameow,,Charmian,Chaglam,Normal,,,,,,5,39,432,,49,55,42,42,37,85,,,,,
432,432,sinnoh,purugly,"Though impudent and difficult to tame, Purugly enjoys great popularity due to its fur, the beauty of which surpasses even velveteen.",,1,1,96,6,0,ブニャット,Bunyatto,Bunyatto,Purugly,,Shnurgarst,Chaffreux,Normal,,,,,,10,438,,431,71,82,64,64,59,112,,,,,
433,433,sinnoh,chingling,This Pokémon gave me an excruciating headache when it seemingly cried out without making a sound. Perhaps there are some sounds that the human ear is simply incapable of hearing.,,1,1,96,4,0,リーシャン,Rīshan,Lisyan,Chingling,,Klingplim,Korillon,Psychic,,,,,,2,6,358,,45,30,50,65,50,45,,,,,
434,434,sinnoh,stunky,The foul fluid from its rear is so revolting that it can make people feel queasy up to a mile and a quarter away.,,1,2,384,4,0,スカンプー,Sukanpū,Skunpuu,Stunky,,Skunkapuh,Moufouette,Poison,Dark,,,,,4,192,435,,63,63,47,41,41,74,,,,,
435,435,sinnoh,skuntank,"It attacks by spraying a repugnant fluid from its tail, but the stench dulls after a few squirts.",,1,2,96,4,0,スカタンク,Sukatanku,Skutank,Skuntank,,Skuntank,Moufflair,Poison,Dark,,,,,10,380,,434,103,93,67,71,61,84,,,,,
436,436,sinnoh,bronzor,They are found in ancient tombs. The patterns on their backs are said to be imbued with mysterious power.,,1,1,384,-1,0,ドーミラー,Dōmirā,Dohmirror,Bronzor,,Bronzel,Archéomire,Steel,Psychic,,,,,5,605,437,,57,24,86,24,86,23,,,,,
437,437,sinnoh,bronzong,It brought rains by opening portals to another world. It was revered as a bringer of plentiful harvests.,,1,1,96,-1,0,ドータクン,Dōtakun,Dohtakun,Bronzong,,Bronzong,Archéodong,Steel,Psychic,,,,,13,1870,,436,67,89,116,79,116,33,,,,,
438,438,sinnoh,bonsly,"From its eyes, it can expel excess moisture from its body. This liquid is similar in composition to human sweat.",,1,1,96,4,0,ウソハチ,Usohachi,Usohachi,Bonsly,,Mobai,Manzaï,Rock,,,,,,5,150,185,,50,80,95,10,45,10,,,,,
439,439,sinnoh,mime-jr,"Known to turn up in bustling marketplaces now and again. It mimics people much as a child would, then watches how they react, eyes sparkling.",,1,1,96,4,0,マネネ,Manene,Manene,Mime Jr.,,Pantimimi,Mime Jr.,Psychic,Fairy,,,,,6,130,122,,20,25,45,70,90,60,,,,,
440,440,sinnoh,happiny,"It carefully carries a round, white rock that it thinks is an egg. It’s bothered by how curly its hair looks.",,1,1,96,8,0,ピンプク,Pinpuku,Pinpuku,Happiny,,Wonneira,Ptiravi,Normal,,,,,,6,244,113,,100,5,5,15,65,30,,,,,
441,441,sinnoh,chatot,"A versatile performer skilled in the imitation of human speech. It is said that older, more experienced Chatot can even understand the meaning of the words they mimic.",,1,1,96,4,0,ペラップ,Perappu,Perap,Chatot,,Plaudagei,Pijako,Normal,Flying,,,,,5,19,,,76,65,45,92,42,91,,,,,
442,442,sinnoh,spiritomb,It was formed by uniting 108 spirits. It has been bound to the Odd Keystone to keep it from doing any mischief.,,1,1,96,4,0,ミカルゲ,Mikaruge,Mikaruge,Spiritomb,,Kryppuk,Spiritomb,Ghost,Dark,,,,,10,1080,,,50,92,108,92,108,35,,,,,
443,443,sinnoh,gible,It nests in horizontal holes warmed by geothermal heat. Foes who get too close can expect to be pounced on and bitten.,,1,1,1024,4,1,フカマル,Fukamaru,Fukamaru,Gible,,Kaumalat,Griknot,Dragon,Ground,,,,,7,205,444,,58,70,45,40,45,42,,,,,
444,444,sinnoh,gabite,It loves sparkly things. It seeks treasures in caves and hoards the loot in its nest.,,1,1,256,4,1,ガバイト,Gabaito,Gabite,Gabite,,Knarksel,Carmache,Dragon,Ground,,,,,14,560,445,443,68,90,65,50,55,82,,,,,
445,445,sinnoh,garchomp,The protuberances on its head serve as sensors. It can even detect distant prey.,,1,1,64,4,1,ガブリアス,Gaburiasu,Gaburias,Garchomp,,Knakrack,Carchacrok,Dragon,Ground,,,,,19,950,,444,108,130,95,80,85,102,10058,,,,
446,446,sinnoh,munchlax,"Its robust stomach allows it to nonchalantly devour even rotted matter. It pays frequent visits to villages, seeking out food scraps intended for compost.",,1,1,96,1,0,ゴンベ,Gonbe,Gonbe,Munchlax,,Mampfaxo,Goinfrex,Normal,,,,,,6,1050,143,,135,85,40,40,85,5,,,,,
447,447,sinnoh,riolu,"It has the peculiar power of being able to see emotions, such as joy and rage, in the form of waves.",,1,1,384,1,0,リオル,Rioru,Riolu,Riolu,,Riolu,Riolu,Fighting,,,,,,7,202,448,,40,70,40,35,40,60,,,,,
448,448,sinnoh,lucario,A well-trained one can use its aura to identify and take in the feelings of creatures over half a mile away.,,1,1,96,1,0,ルカリオ,Rukario,Lucario,Lucario,,Lucario,Lucario,Fighting,Steel,,,,,12,540,,447,70,110,70,115,70,90,10059,,,,
449,449,sinnoh,hippopotas,It shrouds itself in sand to ward off germs. It travels easily through the sands of the desert.,,1,2,384,4,1,ヒポポタス,Hipopotasu,Hippopotas,Hippopotas,,Hippopotas,Hippopotas,Ground,,,,,,8,495,450,,68,72,78,38,42,32,,,,,
450,450,sinnoh,hippowdon,It brandishes its gaping mouth in a display of fearsome strength. It raises vast quantities of sand while attacking.,,1,2,96,4,1,カバルドン,Kabarudon,Kabaldon,Hippowdon,,Hippoterus,Hippodocus,Ground,,,,,,20,3000,,449,108,112,118,68,72,47,,,,,
451,451,sinnoh,skorupi,"Its claws are not only razor-sharp but poisonous, making Skorupi a highly dangerous Pokémon. It seems to be weakened by cold temperatures, however.",,1,2,384,4,0,スコルピ,Sukorupi,Scorupi,Skorupi,,Pionskora,Rapion,Poison,Bug,,,,,8,120,452,,40,50,90,30,55,65,,,,,
452,452,sinnoh,drapion,"Has a brutish, ferocious temperament. With immense strength and a sturdy shell off which swords will bounce, it rampages about and wreaks havoc.",,1,2,96,4,0,ドラピオン,Dorapion,Dorapion,Drapion,,Piondragi,Drascore,Poison,Dark,,,,,13,615,,451,70,90,110,60,75,95,,,,,
453,453,sinnoh,croagunk,"It rarely fights fairly, but that is strictly to ensure survival. It is popular as a mascot.",,1,1,384,4,1,グレッグル,Guregguru,Gureggru,Croagunk,,Glibunkel,Cradopaud,Poison,Fighting,,,,,7,230,454,,48,61,40,61,40,50,,,,,
454,454,sinnoh,toxicroak,"It has a poison sac at its throat. When it croaks, the stored poison is churned for greater potency.",,1,1,96,4,1,ドクロッグ,Dokuroggu,Dokurog,Toxicroak,,Toxiquak,Coatox,Poison,Fighting,,,,,13,444,,453,83,106,65,86,65,85,,,,,
455,455,sinnoh,carnivine,"Though this is a plant Pokémon, it has a gluttonous and unruly temperament. Carnivine attacks its prey with its cavernous maw wide open.",,1,1,96,4,0,マスキッパ,Masukippa,Muskippa,Carnivine,,Venuflibis,Vortente,Grass,,,,,,14,270,,,74,100,72,90,72,46,,,,,
456,456,sinnoh,finneon,"It absorbs sunlight with the pink areas of its skin, which then shine. This appears to be a form of camouflage.",,1,4,384,4,1,ケイコウオ,Keikōō,Keikouo,Finneon,,Finneon,Écayon,Water,,,,,,4,70,457,,49,49,56,49,61,66,,,,,
457,457,sinnoh,lumineon,Lumineon swimming in the darkness of the deep sea look like stars shining in the night sky.,,1,4,96,4,1,ネオラント,Neoranto,Neolant,Lumineon,,Lumineon,Luminéon,Water,,,,,,12,240,,456,69,69,76,69,86,91,,,,,
458,458,sinnoh,mantyke,"Though ball-like in shape, this Pokémon is a proficient swimmer. I have discovered that if a Mantyke spends much time with schools of Remoraid, it will eventually achieve evolution.",,1,4,96,4,0,タマンタ,Tamanta,Tamanta,Mantyke,,Mantirps,Babimanta,Water,Flying,,,,,10,650,226,,45,20,50,60,120,50,,,,,
459,459,sinnoh,snover,"Seemingly curious about people, they gather around footsteps they find on snowy mountains.",,1,1,384,4,1,ユキカブリ,Yukikaburi,Yukikaburi,Snover,,Shnebedeck,Blizzi,Grass,Ice,,,,,10,505,460,,60,62,50,62,60,40,,,,,
460,460,sinnoh,abomasnow,"They appear when the snow flowers bloom. When the petals fall, they retreat to places unknown again.",,1,1,96,4,1,ユキノオー,Yukinōō,Yukinooh,Abomasnow,,Rexblisar,Blizzaroi,Grass,Ice,,,,,22,1355,,459,90,92,75,92,85,60,10060,,,,
461,461,sinnoh,weavile,"They travel in groups of four or five, leaving signs for one another on trees and rocks. They bring down their prey with coordinated attacks.",,1,1,96,4,1,マニューラ,Manyūra,Manyula,Weavile,,Snibunna,Dimoret,Dark,Ice,,,,,11,340,,215,70,120,65,45,85,125,,,,,
462,462,sinnoh,magnezone,"Exposure to a special magnetic field changed Magneton’s molecular structure, turning it into Magnezone.",,1,2,96,-1,0,ジバコイル,Jibakoiru,Jibacoil,Magnezone,,Magnezone,Magnézone,Electric,Steel,,,,,12,1800,,82,70,70,115,130,90,60,,,,,
463,463,sinnoh,lickilicky,"Its tongue can extend and contract freely, and it is capable of reaching lengths over 10 times Lickilicky’s height. Beware of the saliva, as it contains corrosive elements.",,1,1,96,4,0,ベロベルト,Beroberuto,Berobelt,Lickilicky,,Schlurplek,Coudlangue,Normal,,,,,,17,1400,,108,110,85,95,80,95,50,,,,,
464,464,sinnoh,rhyperior,This Pokémon evolved through use of a curious item. Its rocklike hide is composed of a mysterious substance and can withstand a blow from a masterwork sword with nary a scratch.,,1,2,96,4,1,ドサイドン,Dosaidon,Dosidon,Rhyperior,,Rihornior,Rhinastoc,Ground,Rock,,,,,24,2828,,112,115,140,130,55,55,40,,,,,
465,465,sinnoh,tangrowth,"Draped with long vines, it resembles a shrub in appearance. It swings bundles of vines as though they were arms, wrapping them around prey to ensnare them.",,1,1,96,4,1,モジャンボ,Mojanbo,Mojumbo,Tangrowth,,Tangoloss,Bouldeneu,Grass,,,,,,20,1286,,114,100,100,125,110,50,50,,,,,
466,466,sinnoh,electivire,"Its evolution was induced by an unusual item, and its electrical output rises along with its heart rate. From its tails, it can unleash an electric current measuring 20,000 volts.",,1,1,96,2,0,エレキブル,Erekiburu,Elekible,Electivire,,Elevoltek,Élekable,Electric,,,,,,18,1386,,125,75,123,67,95,85,95,,,,,
467,467,sinnoh,magmortar,Use of a strange item caused this Pokémon to evolve. Fireballs launched from the ends of its tubelike arms are hot enough to melt an iron pot in an instant.,,1,1,96,2,0,ブーバーン,Būbān,Booburn,Magmortar,,Magbrant,Maganon,Fire,,,,,,16,680,,126,75,95,67,125,95,83,,,,,
468,468,sinnoh,togekiss,"Scant few have ever sighted this Pokémon. After studying what literature remains, I am certain Togekiss will reveal itself when peace reigns in the land.",,1,3,96,1,0,トゲキッス,Togekissu,Togekiss,Togekiss,,Togekiss,Togekiss,Fairy,Flying,,,,,15,380,,176,85,50,95,120,115,80,,,,,
469,469,sinnoh,yanmega,"Extremely violent. When hunting, it wastes none of its energy, aiming only for prey’s most vulnerable spots. Any who manage to tame this Pokémon must be of incredible bravery.",,1,2,96,4,0,メガヤンマ,Megayanma,Megayanma,Yanmega,,Yanmega,Yanmega,Bug,Flying,,,,,19,515,,193,86,76,86,116,56,95,,,,,
470,470,sinnoh,leafeon,"The younger they are, the more they smell like fresh grass. With age, their fragrance takes on the odor of fallen leaves.",,1,1,96,1,0,リーフィア,Rīfia,Leafia,Leafeon,,Folipurba,Phyllali,Grass,,,,,,10,255,,133,65,110,130,60,65,95,,,,,
471,471,sinnoh,glaceon,It lowers its body heat to freeze its fur. The hairs then become like needles it can fire.,,1,1,96,1,0,グレイシア,Gureishia,Glacia,Glaceon,,Glaziola,Givrali,Ice,,,,,,8,259,,133,65,60,110,130,95,65,,,,,
472,472,sinnoh,gliscor,It glides soundlessly on pitch-black wings and sinks sharp fangs into the throat of its prey. It takes on a look of satisfaction once it has entirely drained its prey of blood.,,1,2,96,4,0,グライオン,Guraion,Glion,Gliscor,,Skorgro,Scorvol,Ground,Flying,,,,,20,425,,207,75,95,125,45,75,95,,,,,
473,473,sinnoh,mamoswine,"This species reached its zenith during the period known as the ice age. I suspect that Hisui’s frigid climate is in harmony with Mamoswine’s constitution, thus awakening hidden potential.",,1,2,96,4,1,マンムー,Manmū,Mammoo,Mamoswine,,Mamutel,Mammochon,Ice,Ground,,,,,25,2910,,221,110,130,80,70,60,80,,,,,
474,474,sinnoh,porygon-z,"A curious item induced this evolution. The Pokémon’s offensive capabilities have greatly increased, but the strangeness of its behavior has magnified in equal measure. This worries me.",,1,2,96,-1,0,ポリゴンＺ,Porigonz,Porygon-Z,Porygon-Z,,Porygon-Z,Porygon-Z,Normal,,,,,,9,340,,233,85,80,70,135,75,90,,,,,
